Timestamp,Scan Number,Trading Pair,DEX,Price,Input Amount,Output Amount,Price Impact (%),Has Arbitrage,Arbitrage Buy DEX,Arbitrage Sell DEX,Arbitrage Profit (%),Arbitrage Profit Amount,Best Arbitrage of Scan,Scan Duration (ms)
2025-06-03T02:18:37.664Z,1,STEP/SOL,Sanctum Infinity,0.00046894768,100,0.046894768,0.0016744925629184379,false,,,0,0,false,6067
2025-06-03T02:18:37.664Z,1,STEP/SOL,Orca-Whirlpool,0.00046894768,100,0.046894768,0.0016744925629184379,false,,,0,0,false,6067
2025-06-03T02:18:37.664Z,1,COPE/SOL,Orca,0.00002389158,100,0.002389158,0.003717940035630886,false,,,0,0,false,6146
2025-06-03T02:18:37.664Z,1,COPE/SOL,Meteora,0.00002389158,100,0.002389158,0.003717940035630886,false,,,0,0,false,6146
2025-06-03T02:18:37.664Z,1,RAY/USDC,Raydium,2.47419991,100,247.419991,0.00186816910744,false,,,0,0,false,6066
2025-06-03T02:18:37.664Z,1,RAY/USDC,Obric V2,2.47419991,100,247.419991,0.00186816910744,false,,,0,0,false,6066
2025-06-03T02:18:37.664Z,1,RAY/USDC,Stabble Stable Swap,2.47419991,100,247.419991,0.00186816910744,false,,,0,0,false,6066
2025-06-03T02:18:37.664Z,1,ORCA/USDC,Orca-Whirlpool,2.72185262,100,272.185262,0.002416790281682,false,,,0,0,false,8205
2025-06-03T02:18:37.664Z,1,ORCA/USDC,Obric V2,2.72185262,100,272.185262,0.002416790281682,false,,,0,0,false,8205
2025-06-03T02:18:37.664Z,1,ORCA/USDC,Stabble Stable Swap,2.72185262,100,272.185262,0.002416790281682,false,,,0,0,false,8205
2025-06-03T02:18:37.664Z,1,BONK/USDC,Raydium,0.000017789649,1000000,17.789649,0.000530984802670012,true,Raydium,Lifinity,0.014497194407826708,2.579e-9,true,8191
2025-06-03T02:18:37.664Z,1,BONK/USDC,Obric V2,0.000017789649,1000000,17.789649,0.000530984802670012,true,Obric V2,Lifinity,0.014497194407826708,2.579e-9,true,8191
2025-06-03T02:18:37.664Z,1,BONK/USDC,Stabble Stable Swap,0.000017789649,1000000,17.789649,0.000530984802670012,true,Stabble Stable Swap,Lifinity,0.014497194407826708,2.579e-9,true,8191
2025-06-03T02:18:37.664Z,1,BONK/USDC,Lifinity,0.000017792228,1000000,17.792228,0,true,Raydium,Lifinity,0.014497194407826708,2.579e-9,true,8191
2025-06-03T02:18:37.664Z,1,RAY/USDT,Obric V2,2.47274713,100,247.274713,0.0010472867446917737,true,Obric V2,Raydium,0.00353291280536235,0.00008736,true,10288
2025-06-03T02:18:37.664Z,1,RAY/USDT,Raydium,2.47283449,100,247.283449,0.0010119946163656623,true,Obric V2,Raydium,0.00353291280536235,0.00008736,true,10288
2025-06-03T02:18:37.664Z,1,RAY/USDT,SolFi,2.47283449,100,247.283449,0.0010119946163656623,true,Obric V2,SolFi,0.00353291280536235,0.00008736,true,10288
